title,company,link,id,upload_date,purge_date,status
GCC Rare Disease Cross-Franchise Strategy &amp; Planning Head,Astrazeneca,https://careers.astrazeneca.com//job/dubai/gcc-rare-disease-cross-franchise-strategy-and-planning-head/7684/50777130992,50777130992,2023-06-27,2023-06-30,expired
Senior Product Specialist Complement &#x2013; Rare Disease,Astrazeneca,https://careers.astrazeneca.com//job/dubai/senior-product-specialist-complement-rare-disease/7684/50777129776,50777129776,2023-06-27,2023-07-10,expired
Medical Representative,Astrazeneca,https://careers.astrazeneca.com//job/abu-dhabi/medical-representative/7684/50821951680,50821951680,2023-06-27,2023-07-06,expired
Business Unit Manager RMS,Roche,https://careers.roche.com/global/en/job/ROCHGLOBAL202306115060EXTERNALENGLOBAL,ROCHGLOBAL202306115060EXTERNALENGLOBAL,2023-06-27,,current
Professional Education Manager Surgical Vision CEEMA,Jonson Jonson,https://jobs.jnj.com//en/jobs/2306126727w/professional-education-manager-surgical-vision-ceema/,2306126727w,2023-06-28,2023-07-08,expired
Marketing Coordinator,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Marketing-Coordinator_4889048,4889048,2023-07-03,2023-07-08,expired
"Finance Analyst, Sales &amp; GP",Jonson Jonson,https://jobs.jnj.com//en/jobs/2306129687w/finance-analyst-sales-gp/,2306129687w,2023-07-04,2023-07-12,expired
Supply Chain Manager,Novo Nordisk,https://www.novonordisk.com/content/nncorp/global/en/careers/find-a-job/job-ad.281855.en_GB.html,281855.en_GB,2023-07-04,2023-07-20,expired
Regulatory Affairs Associate,Novartis,https://www.novartis.com/careers/career-search/job-details/378529br/regulatory-affairs-associate,378529br,2023-07-08,2023-07-23,expired
Professional Health Representative - Neurosciences,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Professional-Health-Representative---Neurosciences_4889389-1,4889389,2023-07-08,2023-07-23,expired
Key Account Manager,Sanofi,https://en.jobs.sanofi.com/job/dubai/key-account-manager/20873/51270980672,51270980672,2023-07-08,2023-07-11,expired
GCC Manager Financial Controlling,Astrazeneca,https://careers.astrazeneca.com//job/dubai/gcc-manager-financial-controlling/7684/51435046912,51435046912,2023-07-10,2023-07-20,expired
Medical Representative,Astrazeneca,https://careers.astrazeneca.com//job/dubai/medical-representative/7684/51479138032,51479138032,2023-07-11,2023-07-20,expired
GCC Pricing Manager,Astrazeneca,https://careers.astrazeneca.com//job/dubai/gcc-pricing-manager/7684/51479105056,51479105056,2023-07-11,2023-07-20,expired
Regulatory Affairs Manager,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Regulatory-Affairs-Manager_4889575,4889575,2023-07-12,,current
Key Account Manager,Sanofi,https://en.jobs.sanofi.com/job/dubai/key-account-manager/20873/51487750256,51487750256,2023-07-12,,current
GCC&amp;P Total Rewards Lead,Astrazeneca,https://careers.astrazeneca.com//job/dubai/gcc-and-p-total-rewards-lead/7684/51545836896,51545836896,2023-07-13,2023-07-20,expired
Sales Intermediaries (SI) Projects Manager MERA,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/Egypt---Cairo/Sales-Intermediaries--SI--Projects-Manager-MERA_4889792,4889792,2023-07-13,2023-07-23,expired
Diabetes Medical Manager,Novo Nordisk,https://www.novonordisk.com/content/nncorp/global/en/careers/find-a-job/job-ad.281250.en_GB.html,281250.en_GB,2023-07-13,,current
"Pricing Manager, Gulf Cluster",Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Pricing-Manager--Gulf-Cluster_4890246-1,4890246,2023-07-20,,current
Health Representative,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Health-Representative_4890250,4890250,2023-07-20,,current
 Working Student Portfolio Management CHC (m/f/d) ,STADA,https://jobs.stada.com/job/Bad-Vilbel-Working-Student-Portfolio-Management-CHC-%28mfd%29-HE-61118/943266501,943266501,2023-07-23,,new
